This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
386,battu,nirdravē,"to lose wetness, dry up.",tanta,,
387,bittu,bijasthāpanē,"to put seeds, sow:",tanta,,
388,pottu,agnipaṭūkaraṇē,"to be kindled, etc.,",tanta,,
389,tē,apasaraṇē,"to move off, go away, etc.",tanta,,
390,tā,ardravakaraṇē,to make wet; to be wet.,tanta,,
391,hadi,khananavivaraṇē,"to uncover by digging, etc.",danta,,
392,pudi,acchadanē,to be covered.,danta,,
393,gudi,padabandhanē,to tie the feet.,danta,,
394,midi,musalakriyāyām,"to work with the pestle, to pound; ghāta-mardanayōḥ to kill, to grind.",danta,,
395,kudi,santāpē,"to boil, etc.",danta,,
396,kadu,yuddhē,to fight.,danta,,
397,modu,tāḍanē,to strike.,danta,,
398,õdu,paṭhanē,to read.,danta,,
399,ūdu,śvāsapraharaṇē,to strike with the breath,danta,,
400,urdu,sannighr̥ṣṭē,"to rub,",danta,,
401,gurdu,muṣṭitāḍanē,to strike with the fist.,danta,,
402,tirdu,r̥jūkaraṇē,to make straight or right.,danta,,
403,bardu,maraṇē,to die.,danta,,
404,pordu,samīpē,to be near.,danta,,
405,aḻdu,jalamagnē,"to siṅk under water, dive (o.r. āḻdu).",danta,,
406,tāḷdu,dharaṇē,"to hold, etc.",danta,,
407,moḷdu,atikramaṇē,"to transpass, transgress.",danta,,
408,temaḷdu,cayanē,to amass.,danta,,
409,sēndu,jalaniṣkramaṇē,to draw up water.,danta,,
410,nāndu,dravīkaraṇē,to liquefy.,danta,,
411,hondu,maraṇē,to die.,danta,,
412,sundu,maithunē,to lie with.,danta,,
413,nandu,vināśē,to perish.,danta,,
414,māndu,pratiṣēdhē,to stop (o.r. prasiddhē).,danta,,
415,ondu,sammēlanē,to be united.,danta,,
416,kandu,gatakāntau,to lose one's lustre:,danta,,
417,kundu,kṣayē,to decrease .,danta,,
418,mundu,purassaraṇē,to go before .,danta,,
419,ode,pādapraharanē,to strike with the foot.,danta,,
420,hode,ācchādanē,to cover.,danta,,
421,tade,tāḍanē,to strike.,danta,,
422,sade,iṣaccūrṇē,"to crush a little or slightly, to squash.",danta,,
423,pade,īpsāyām,to desire.,danta,,
424,mudu,vr̥ddhau,"to grow old, etc.",danta,,
425,mode,muñjatr̥ṇē,the grass Saccharum munja (not in all Mss.).,danta,,
426,muni,krõdhē,"to be angry,",nanta,,
427,kuni,ākuñcanē,to bend (v.i.); vakrabhūmau crooked or bent ground.,nanta,,
428,hani,bindupatanē,to fall in drops.,nanta,,
429,nān,ārdrabhāvē,to become wet.,nanta,,
430,ban,kulālakaraṇē,to do the work of a potter; ākāśagōmayapiṇḍapuñjayõḥ the sky; a heap of cakes of cow-dung.,nanta,,
431,ān,dhāraṇē,to hold.,nanta,,
432,nōn,vratācaraṇē,to perform a vow.,nanta,,
433,sīn,kṣutakaraṇē,to sneeze.,nanta,,
434,kün,ānamē,to bend.,nanta,,
435,pēn,yūkasamr̥ddhau,lice to increase.,nanta,,o.r. hēn
436,īn,tiryakprasavē,"to bring forth, as cattle and other beasts.",nanta,,
437,tin,khadanē,to eat.,nanta,,
438,en,bhāṣaṇē,to say.,nanta,,
439,nene,smaraṇē,to remember.,nanta,,
440,nane,ārdrabhāvē,to became wet.,nanta,,
441,tone,āndōlanē,to swing backwards and forwards.,nanta,,
442,kone,svīkr̥tārthavardhanē,to succeed in one's adopted cause.,nanta,,
443,one,śūrpakaraṇē,to winnow.,nanta,,
444,nō,vyathanē,to suffer pain.,nanta,,
445,pū,puṣpasambhavē,to bloom.,panta,,
446,parepu,prasarē,to spread (o.r. parapu).,panta,,
447,nerepu,sangrahē,to collect.,panta,,o.r. nerapu
448,tirupu,bhramaṇē,to turn round.,panta,,
449,uripu,agnibādhē,to cause to burn or flame.,panta,,o.r. urupu
450,muripu,muṣṭibhramaṇē,to whirl the fist.,panta,,
451,taṇipu,tr̥ptau,to satisfy.,panta,,
452,pōpu,āsannagamanē,to be zealously active in going (cf. 91).,panta,,
453,madipu,maranakaraṇē,to kill.,panta,,
454,keḍapu,patanē,"to make fall (o.r. keḍepu, kiḍipu).",panta,,
455,koḍapu,karavikīrṇē,to scatter about with the hand.,panta,,
456,salapu,rakṣaṇē,"to preserve, to protect, etc.",panta,,
457,iḻipu,adhaḥsthānē,"to cause to descend, to lower.",panta,,
458,gaḻapu,bahubhāṣaṇē,to chatter.,panta,,
459,kaḷipu,anugamanē,to send after.,panta,,
460,tiḷipu,krõdhōtsarjanē,to abandon one's anger.,panta,,
461,aḻipu,lõpatvē,to destroy.,panta,,
462,uḻipu,śēṣakaraṇē,to let remain.,panta,,
463,appu,āliṅganē,to embrace.,panta,,
464,oppu,saundaryē,to be beautiful.,panta,,
465,soppu,nivāraṇē,"to keep off, etc.",panta,,
466,tappu,skhalanē,"to slip, to err.",panta,,
467,ṟeppu,praharaṇē,to strike.,panta,,
468,kappu,khananē,to dig.,panta,,
469,kuppu,puñjīkaraṇē,to heap together.,panta,,
470,bī,avasānē,"to end, perish.",banta,,
471,nambu,viśvāsē,to trust.,banta,,
472,tumbu,pūraṇē,to become full.,banta,,
473,timbu,pūraṇē,to fill.,banta,,
474,āmbu,śōṣaṇē,to dry.,banta,,
475,nāmbu,ālasyē,to be idle.,banta,,
476,alambu,jalakṣālanē,to wash with water.,banta,,
477,taṟumbu,gatistambhē,to stop.,banta,,
478,kaṟumbu,asūyē,to envy.,banta,,
479,uṟumbu,yuddhakramaṇagamanē,"to march, march against.",banta,,
480,asumbu,sañcālanē,to shake.,banta,,
481,kalumbu,kaluṣīkaraṇē,to make turbid.,banta,,
482,nigumbu,puñjīkaraṇē,to amass.,banta,,
483,nilumbu,puñjīkaraṇē,to amass.,banta,,
484,tubbu,cõrasūcanē,to inform against a thief; to be detected as a thief.,banta,,
485,gerbu,maithunē,to have sexual intercourse.,banta,,
486,parbu,vistārē,to spread.,banta,,
487,korbu,samr̥ddhau,"to increase, to fatten.",banta,,
488,urbu,utsāhodvartanayōḥ,"to become full of effort, etc.; to rise or swell.",banta,,
489,jarbu,ākramaṇadhvanau,"to scold, etc.",banta,,o.r. āgrahadhvanau
490,tarbu,āślēṣē,to embrace.,banta,,
491,eḻbu,utsarpaṇē,to rise.,banta,,
492,bē,dāhē,to be burnt up.,banta,,
493,bā,śõbhē,to swell.,banta,,
494,mī,snapanē,to bathe.,manta,,
495,kemmu (kimmu),kāsē,to cough.,manta,,
496,kammu,dantasvāsē,breath to be fragrant.,manta,,"o.r. dantasvānē, gandhaśvāsē"
497,kummu,musalakriyāyām,"to work with a pestle, to pound.",manta,,
498,ommu,anuvartanē,"to assent, etc.",manta,,
499,cinimu,yugāṅgulivimõcanē,"to discharge by means of the fingers,",manta,,
500,hammu,rajjukriyāyām,to make or twist a rope.,manta,,
501,nemmu,pr̥ṣṭasthāpanē,"to lean on, etc.",manta,,
502,aṇmu,pauruṣē,to be strong.,manta,,
503,poṇmu,udgamanē,"to rise, appear.",manta,,
604,uṇmu,udgatau,to rise.,manta,,
506,kaygaṇmu,atikramaṇē,to overstep.,manta,kayge + aṇmu,
506,karegaṇmu,kūlātikramaṇē,to over step the boundary.,manta,karege + aṇmu,
507,name,guruyāpyē,"to become insignificant in bulk,",manta,,
508,same,nirvahaṇē,"to be made ready, etc.,",manta,,
509,mē,tiryakkhādanē,"to eat as beasts do, to graze.",manta,,
510,poy,tāḍanē,to strike.,yanta,,
511,bay,nikṣēpē,(o.r. vikṣēpē) to put aside.,yanta,,
512,gey,śilpē,to perform manual or mechanical art.,yanta,,"also key, as would appear from the compounds 523, 524, 529, 530, 531"
513,ney,vastrakriyāyām,to weave.,yanta,,
514,koy,lavanē,"to cut, reap.",yanta,,
515,uy,niyāmē,to restrain.,yanta,,
516,āray,anvēṣaṇē,to search.,yanta,,
517,suy,ucсhvāsē,"to breathe, sigh.",yanta,,
518,toy,sārdyatvē,to become wet.,yanta,,o.r. tuy
519,kāy,phalōtpattau,fruit to grow.,yanta,,
520,āy,viralavastvākarṣaṇē,"to pick up single things, select.",yanta,,
521,pāy,laṅghanē,to pass over.,yanta,,
522,manamboy,samagracēṣtāyām,to be replete with activity.,yanta,manam + poy,
523,kaḍukey,tīvratvē,to basten.,yanta,kaḍu + key,
524,olakey,antaḥkriyāyaā,"to do or to put inside, etc.",yanta,ola + key,
525,taḻpoy,pratihatē,"to be obstructed, to hinder.",yanta,taḻ + poy,
526,kaygāy,samrakṣaṇē,to protect.,yanta,kay + kāy,
527,tuḻilgey,namaskārē,to make obeisance.,yanta,tuḻil + gey,
528,kaygey,bhūṣanõdvahanē,"to trim, to adorn.",yanta,kay + gey,
529,embukey,anumatē,to assent.,yanta,embu + key,
530,imbukey,sthānasaṅgrahē,to seize a place.,yanta,imbu + key,
531,appukey,aṅgīkaraṇē,"to agree, consent.",yanta,appu + key,
532,kayvoy,pratijnāyām,"to agree, assent",yanta,kay + poy,
533,sari,palāyanē,"to go backwards, flee.",ranta,,
534,suri,galanē,to drop.,ranta,,
535,biri,sphuṭanē,to burst.,ranta,,
536,ari,kr̥ntanē,"to cut, cut off.",ranta,,
537,kiri,vapanē,to shave; tantu granthi varāhayõḥ a knot in thread; a hog.,ranta,,
538,muri,vakrabhāvē,"to be bent, grow crooked.",ranta,,
539,hari,dhāvanē,"to run, flow.",ranta,,o. r. pari
540,uri,dahanē,to burn.,ranta,,
541,kari,atidānē,"to be burnt, to cinder, be charred.",ranta,,
542,huri,nirdravakaraṇē,"to make dry, parch.",ranta,,
543,jari,tīrapatanē,"to slide or slip down, as a baṅk.",ranta,,
544,nimir,prasāraṇē,"to extend, become straight.",ranta,,
545,amar,gātraślēṣē,"to be closely united, be liṅked to.",ranta,,
546,bemar,svēdabhāvē,to be in perspiration.,ranta,,
547,timir,tvaṅmalavisarjanē,to do away with filth of excretion of the skin.,ranta,,
548,aḍar,arōhaṇē,"to ascend, climb.",ranta,,
549,toḍar,bandhanē,to be bound.,ranta,,
550,bidur,aśr̥ṅkhalāyām,to unite.,ranta,,
551,poḍar,sphuraṇē,to tremble.,ranta,,
552,adir,kampanē,to tremble.,ranta,,
553,bidir,vikīrṇē,"to be scattered, spread out.",ranta,,
554,udir,patanē,to fall down from above.,ranta,,
555,alar,vikasanē,"to open, blossom.",ranta,,
556,malar,parāṅmukhē,the face to be turned or averted.,ranta,,
557,pōr,mallayuddhē,to wrestle.,ranta,,
558,sār,samīpagamanē,to come or go near.,ranta,,
559,nēr,kr̥ntanē,"to cut, cut off.",ranta,,
560,pār,samayānvēṣaṇē,"to search for a time or occasion, look for.",ranta,,
561,gōr,jalakaraṇē,"to catch with a net, fish.",ranta,,
562,sēr,sānumatē,to agree with.,ranta,,
563,kūr,snēhē,to be attached to.,ranta,,
564,bār,carmavallīkaraṇē,"to cut leather lengthwise or in straps; drava-dravyanirmuktau to set free a liquid, pour out.",ranta,,
565,sõr,galanē,"to drop,",ranta,,
566,kār,khādanē,to bite.,ranta,,
567,hīr,rasāsvādanē,to suck a liquid.,ranta,,o.r. pīr
568,ār,uccairdhvanau,"to cry aloud; halānvita-vr̥sabha-yugmē a pair of oxen yoked to a plough,",ranta,,
569,konar,pallavõtpattau,to sprout.,ranta,,
570,cigur,pallavõtpattau,to sprout.,ranta,,
571,taḷir,pallavõtpattau,to sprout,ranta,,
572,kanar,apakvarasē,the taste of something upripe to exist.,ranta,,
573,osar,sravaṇē,to ooze.,ranta,,
574,kisur,asahyabhāvē,to be of an intolerable nature or very disagreeable.,ranta,,
575,asur,asahyabhāvē,to be of an intolerable nature or very disagreeable.,ranta,,
576,usir,bhaṣanē,to speak.,ranta,,
577,kasar,galakaṇḍūtau,"to scratch the throat, to be astringent to the taste.",ranta,,
578,pasur,haritabhāvē,to be green.,ranta,,
579,tagar,gatibandhanē,to stop.,ranta,,
580,bigur,bhayē,to fear.,ranta,,
581,ir,sthāyībhāvē,"to be, to stay.",ranta,,
582,tar,ānayē,to bring.,ranta,,
583,bar,āgamanē,to come.,ranta,,
584a,eḻtar,samīpagamanē,to come near.,ranta,eḻ + tar,
584b,eylar,samīpagamanē,to come near.,ranta,ey + tar,
584c,sārtar,samīpagamanē,to come near.,ranta,sār + tar,
585,pore,põṣanē,to nourish.,ranta,,
586,nere,samyōgē,to be united.,ranta,,
587,are,pēṣaṇē,to grind.,ranta,,
588,ore,karṣaṇē,to draw.,ranta,,
589,kare,āhvānē,to call.,ranta,,
590,tore,stanyē,milk to come to breast.,ranta,,
591,kore,nidrāṅgadhvanau,to snore.,ranta,,
592,ere,yacñāyām,to beg,ranta,,
593,pare,prasāranē,to extend.,ranta,,
594,bare,vilēkhanē,to write.,ranta,,
595,mure,bhramarādininādē,to sound as a black bee and other insects,ranta,,o.r. more
596,kere,nakhakriyāyām,to scratch with the nails.,ranta,,
597,miḷir,luṭhanē,to move about.,ranta,,
598,taḷar,calanē,to move.,ranta,,
599,aḷur,āvaraṇē,to cover.,ranta,,
600,taḷir,pallavõtpattau,to sprout.,ranta,,
601,kiḷir,hayadhvanau,to neigh.,ranta,,
602,beḷar,dhāvalyē,to become white or bright.,ranta,,
603,keḷar,vijr̥mbhaṇē,"to expand, yawn.",ranta,,
604,miḷir,samr̥ddhau,to increase.,ranta,,
605,kuḷir,r̥jubhēdē,"to bend, sit down.",ranta,,
606,male,auddhatyē,to be puffed up.,lanta,,
607,kele,utsahadhvanau,to shout with energy or for joy.,lanta,,
608,ole,ōndōlanē,to be in a swinging motion.,lanta,,
609,ale,paribhāva-lõlanayōḥ,"to slight, disgrace, to shake, be unsteady.",lanta,,
610,aṇḍale,āsannapīḍanē,"to oppress, harass.",lanta,,
611,kaṇmale,cittasphuraṇē,to flash on the mind.,lanta,kaṇ + male,
612,pol,syūtē,to sew.,lanta,,
613,kicikil,hēṣitē,to neigh.,lanta,,
614,kukil,kōkilasvanē,to sound as a cuckoo.,lanta,,
615,oṟal,snēhē,to love.,lanta,,
616,neṟal,niścēṣṭāvalambanē,to hang down motionless or powerless; to faint.,lanta,,
617,kaḻal,tanutvē,"to be thin; takra-mañjīrayōḥ butter milk mixed with water; a foot-ring, aṅklet.",lanta,,
618,aval,musalakriyāyām,"to work with the pestle, to pound,",lanta,,
619,baḻal,śrāntau,to be weary.,lanta,,
620,toḻal,bhramaṇē,to whirl round; to wander about.,lanta,,
621,aḻal,duhkhē,"to sorrow, to grieve.",lanta,,
622,eḻal,ālambanē,"to hang down, be pendent.",lanta,,
623,piḷil,hastōnmuktau,to let loose from the hand.,lanta,,
624,maral,parāṅmukhē,the face to be turned or averted; to turn backwards.,lanta,,
625,aral,vikāsē,"to open, blow.",lanta,,
626,kanal,krõdhē,to be angry.,lanta,,
627,onal,apahasanakrōdhē,"to be in scornful wrath, in wrath which knows no smile.",lanta,,
628,naral,vēdanadhvanau,"to groan, moan.",lanta,,
629,maḍal,vallivr̥ddhau,to spread out or run as a creeper.,lanta,,
630,siḍil,vikīrṇē,to be scattered .,lanta,,
631,taḷal,śākhāmukhē,"to bud, shoot as branches.",lanta,,
632,ele,taḷal-pallavaprāptau,to get sprouts or shoots.,lanta,,
633,jōl,ālambanē,"to hang down, be suspended.",lanta,,
634,kol,himsāyām,to kill.,lanta,,
635,sal,sthānapravēšē,"to enter a place, to enter.",lanta,,
636,nil,gatimuktau,"to cease from walking, stand.",lanta,,
637,bil,vikrayē,to sell.,lanta,,
638,kal,abhyāsē,to learn.,lanta,,
639,jigil,snigdhasaṅklēṣayōḥ,"to be sticky, gummy; to suffer distress.",lanta,,
640,pagil,snigdhasaṅklēṣayōḥ,"to be sticky, gummy; to suffer distress.",lanta,,
641,taṟisal,niścayē,"to be ascertained, settled.",lanta,,
642,*baḻisal,anugamanē,to follow.,lanta,,
643,sõl,parājayē,"to lose, be defeated.",lanta,,
644,sāl,r̥ṇē,to get into debt.,lanta,,
645,pōl,sādr̥śyē,to resemble.,lanta,,
646,nūl,tantukaraṇē,to make thread.,lanta,,
647,nēl,ālambanē,"to be suspended, to hang.",lanta,,
648,pēl,malavisarjanē,to void excrement:,lanta,,
649,avi,nigūhanē,"(o.r. gūhanē) to cover, hide.",vanta,,
650,kavi,acchadanē,to cover.,vanta,,
651,savi,khādanaparkṣāyām,"to test by eating, to taste.",vanta,,
652,tivi,muṣṭipraharaṇē,to strike with the fist.,vanta,,
653,tavu,kṣayē,"to decrease, to waste away.",vanta,,
654,odavu,samddhau,to thrive.,vanta,,
655,õvu,pālanē,"to guard, protect.",vanta,,
656,sivu,bhūṣaṇē,to adorn.,vanta,,
657,tīvu,püraṇē,to fill; to become full.,vanta,,
658,eḻavu,apamarjanē,to remove by wiping or rubbing.,vanta,,
659,garavu,sarvakarṣaṇē,to draw the whole towards one’s self.,vanta,,
660,taḍavu,hastānvēṣaṇē,"to seek with the hands, grope.",vanta,,
661,aḻvu,dahanātikramaṇē,burning to go beyond the proper limit.,vanta,,
662,taḷvu,kālākṣēpē,to delay.,vanta,,
663,eḷavu,vidhikaraṇē,"to order, to arrange.",vanta,,
664,husi,anr̥tē,"to be false, to lie.",santa,,
665,nasi,jīrṇē,to decay.,santa,,
666,basi,galanē,to drip.,santa,,
667,kusi,kṣīṇatvē,"to sink, give way.",santa,,
668,hasi,kṣudhāyām,to hunger.,santa,,
669,kisi,vikasanē,to open.,santa,,
670,sasi,sasyādyutpāṭanē,to pull out as corn.,santa,,
671,bīsu,āvartanē,to turn round.,santa,,
672,pāsu,āstaraṇakriyāyām,"to lay, spread out.",santa,,
673,sūsu,parityāgē,"to quit, let go.",santa,,
674,asu,ūrdhvavimōcanē,to release from above.,santa,,
675,māsu,malīmasē,to become dirty.,santa,,
676,hēsu,jugupsāyām,to feel aversion.,santa,,
677,bāsu,purīṣõtsargē,to void excrement.,santa,,
678,kīsu,kśikaraṇē,to make thin.,santa,,
679,mūsu,āghrāṇē,to smell.,santa,,
680,pūsu,vilēpanē,"to besmear, plaster.",santa,,
681,īsu,jalõttaraṇē,to cross water in swimming.,santa,,
682,hūsu,adhōvāyau,"to break wind downwards, fart.",santa,,
683,kāsu,dāhē,"to make hot, to heat.",santa,,
684,kōsu,sūtrapravēśē,to cause to thread.,santa,,
685,kayvisu,raṇāramba-hastasūcanayōḥ,to begin fighting by flourishing the hands; to give a sign with the hand.,santa,kay + bīsu,
686,aṟasu,anvēṣaṇē,to search.,santa,,
687,maṟasu,ācchādanē,"to conceal, hide.",santa,,
688,tuṟisu,kaṇḍūtikarṣaṇē,to scratch what itches.,santa,,
689,mogasu,udyōgārambhē,"to begin, to exert one's self.",santa,,
690,uḻisu,sahanē,"to bear, endure.",santa,,
691,eḷasu,icchāyām,to desire.,santa,,
692,baḷasu,bhramaṇa-kañcukāṅgayōḥ,to go round; a coat of mail.,santa,,
693,"berasu, kalasu",sammiśrē,to mix or be mixed.,santa,,
694,aḍasu,gādhapravēśē,to enter closely or firmly.,santa,,
695,alasu,ālasyē,to become tired or fatigued.,santa,,
696,seṇasu,īrṣāyām,to envy.,santa,,
697,orasu,gharṣanē,to rub.,santa,,
698,isu,śaravimōcanē,"to shoot, as an arrow.",santa,,
699,bisu,lõhasandhānē,"to put metals together, solder.",santa,,
700,pasu,vibhajanē,to divide.,santa,,
701,kose,nidhuvanakaraṇē,to have sexual intercourse.,santa,,
702,pose,rajjukriyāyām,"to make rope, twist.",santa,,
703,bese,garvē,to be proud.,santa,,
704,nese,utpavanē,to be purified.,santa,,
705,mase,gharṣaṇē,"to rub, wheat.",santa,,
706,ese,śõbhāyām,to shine.,santa,,
707,ose,prasannē,to be delighted.,santa,,
708,citrisu,rūpādilēkhanē,to draw a picture.,saṁskr̥tasvayaṁkartarīsu,,
709,sūtrisu,mānasūtrasthāpanē,to place a measuring line.,saṁskr̥tasvayaṁkartarīsu,,
710,garjisu,bhayaṅkaradhvanau,to roar.,saṁskr̥tasvayaṁkartarīsu,,
711,tarjisu,nivāraṇē,to keep off.,saṁskr̥tasvayaṁkartarīsu,,
712,mudrisu,aṅgīkaraṇē,"to agree to, to assent.",saṁskr̥tasvayaṁkartarīsu,,
713,bhadrisu,muṇḍanakriyāyām,to shave.,saṁskr̥tasvayaṁkartarīsu,,
714,varṇisu,stōtrē,to praise.,saṁskr̥tasvayaṁkartarīsu,,
715,ghūrṇisu,vijr̥mbhaṇē,"to gape, expand.",saṁskr̥tasvayaṁkartarīsu,,
716,śikṣisu,niyamē,"to restrain, subdue.",saṁskr̥tasvayaṁkartarīsu,,
717,"vāḷisu, mēḷisu",saṁyōgē,to be joined.,saṁskr̥tasvayaṁkartarīsu,,
718,rakṣisu,pālanē,to protect.,saṁskr̥tasvayaṁkartarīsu,,
719,rājisu,śõbhāyām,to shine.,saṁskr̥tasvayaṁkartarīsu,,
720,pūjisu,arcanavidhau,"to worship, adore.",saṁskr̥tasvayaṁkartarīsu,,
721,vartisu,vartanē,to be occupied.,saṁskr̥tasvayaṁkartarīsu,,
722,kīrtisu,varṇanē,to praise.,saṁskr̥tasvayaṁkartarīsu,,
723,nīrājisu,āratīkakriyāyām,to wave lamps before a person or idol.,saṁskr̥tasvayaṁkartarīsu,,
724,yōjisu,anumatē,to assent to.,saṁskr̥tasvayaṁkartarīsu,,
725,jēṅkarisu,praśaṁsāyām,to praise.,saṁskr̥tasvayaṁkartarīsu,,
726,māṅkarisu,avajñāyām,to surpass.,saṁskr̥tasvayaṁkartarīsu,,o.r. mākarisu
727,śāsisu,śikṣāyām,"to teach, train.",saṁskr̥tasvayaṁkartarīsu,,
728,vāsisu,āghrāṇē,to smell.,saṁskr̥tasvayaṁkartarīsu,,
729,niyāmisu,ājñāpanē,to command.,saṁskr̥tasvayaṁkartarīsu,,
730,abhinayisu,anukaraṇē,"to imitate, represent.",saṁskr̥tasvayaṁkartarīsu,,
731,rañjisu,śõbhāyām,to shine.,saṁskr̥tasvayaṁkartarīsu,,
732,puñjisu,rāśau,to heap.,saṁskr̥tasvayaṁkartarīsu,,
733,rañjisu,rāgē,to paint.,saṁskr̥tasvayaṁkartarīsu,,
734,bhañjisu,apamānē,to dishonour.,saṁskr̥tasvayaṁkartarīsu,,
735,udāharisu,kathanē,to relate.,saṁskr̥tasvayaṁkartarīsu,,
736,carayisu,bhramaṇē,to walk about.,saṁskr̥tasvayaṁkartarīsu,,o.r. cariyisu
737,varayisu,svīkārē,"to adopt, make one's own.",saṁskr̥tasvayaṁkartarīsu,,o.r. variyisu
738,kōpisu,amarṣē,to become angry.,saṁskr̥tasvayaṁkartarīsu,,
739,sthāpisu,nyāsakaraṇē,"to put down, place.",saṁskr̥tasvayaṁkartarīsu,,
740,sañcisu,saṅgrahē,to collect.,saṁskr̥tasvayaṁkartarīsu,,
741,vañcisu,apalāpē,"to conceal, deny.",saṁskr̥tasvayaṁkartarīsu,,
742,ramisu,krīḍāyām,to enjoy carnally.,saṁskr̥tasvayaṁkartarīsu,,
743,gamisu,gamakr̥tē,(o.r. gamakatvē) to go.,saṁskr̥tasvayaṁkartarīsu,,
744,ālisu,ākarṇanē,to listen attentively.,karṇāṭa isu,,
745,mālisu,kaṭākṣē,to cast a side-glance.,karṇāṭa isu,,
746,nigumbisu,saṅkīrṇarāśau,a heap to be formed of miscellaneous things.,karṇāṭa isu,,
747,nambisu,anumõdanē,"to cause, to assent.",karṇāṭa isu,,
748,guḍiyisu,puñjīkaraṇē,to make a heap.,karṇāṭa isu,,o.r. guḍisu
749,baḍisu,ōlgakriyāyām,(vālagakriyāyām) to serve up or cut.,karṇāṭa isu,,
750,niṭṭisu,nirbharālōkē,to look excessively.,karṇāṭa isu,,
751,tuṭṭisu,śaktikṣayē,strength to be diminished.,karṇāṭa isu,,
752,ōsarisu,apādānē,to remove.,karṇāṭa isu,,
753,bōsarisu,mithyādarē,to flatter.,karṇāṭa isu,,
754,mukkuḷisu,gaṇḍūṣē,to rinse the mouth with water.,karṇāṭa isu,,
755,bikkuḷisu,udgārē,to vomit.,karṇāṭa isu,,
756,akkuḷisu,nimnakukṣau,"to contract the body,",karṇāṭa isu,,
757,nikkuḷisu,vilāsāvanamrē,to bend one's self from couquetry.,karṇāṭa isu,,
758,jakkuḷisu,narmakaraṇē,to jest at.,karṇāṭa isu,,
759,kuppaḷisu,rāśau,to heap.,karṇāṭa isu,,
760,appaḷisu,āsphālanē,to flap.,karṇāṭa isu,,
761,bittarisu,vistārē,to spread.,karṇāṭa isu,,
762,ottarisu,udvr̥ttāyām,to act haughtily (o.r. udvrittau).,karṇāṭa isu,,
763,ummaḷisu,cintāyām,to grieve.,karṇāṭa isu,,
764,dommaḷisu,tiryaksamūhasambhramē,"to be agitated or alarmed, as a herd of cattle.",karṇāṭa isu,,
765,kokkarisu,vibhatsarjanē,(o.r. nirbhartsanē) to threaten.,karṇāṭa isu,,
766,cekkarisu,ajadhvanau,to bleat.,karṇāṭa isu,,o.r. bekkarisu
767,ālisu,paribhāvanē,to thiṅk about.,karṇāṭa isu,,cf. 744
768,sõlisu,apajayē,to defeat.,karṇāṭa isu,,
769a,sandaṇisu,samūhē to crowd.,bāhulyē ca,karṇāṭa isu,,
769b,gondaṇisu,samūhē to crowd.,bāhulyē ca,karṇāṭa isu,,
770,biccaḻisu,vistārē,to spread out.,karṇāṭa isu,,
771,puccaḻisu,layē,"to melt away, be destroyed.",karṇāṭa isu,,
772,beccaḷisu,vimōhē,to become bewildered or be beguiled.,karṇāṭa isu,,
773,ṭebbarisu,kuṇṭhīkaraṇē,"to make blunt, stupid.",karṇāṭa isu,,
774,gabbarisu,khananē,to dig.,karṇāṭa isu,,
775,ubbarisu,pūraṇē,to swell.,karṇāṭa isu,,
776,kurgisu,saṅkōcē,to cause to be bent.,karṇāṭa isu,,
777,jānisu,dhyānē,to meditate.,karṇāṭa isu,,
778,jinigisu,naṣtacēṣṭāyām,to be or make motionless.,karṇāṭa isu,,
779,taḍavarisu,anvēṣaṇē,"(o.r.s, asauṣṭanē, sauṣtanē to grope)",karṇāṭa isu,,
780,guḍuguḍisu,kōpõdrēkē,to be excessively angry.,karṇāṭa isu,,o.r. guḍiguḍisu
781,cimicimisu,śabdē,to make a certain sound.,karṇāṭa isu,,
782,kadakadisu,sañcalatvē,"to tremble, shake.",karṇāṭa isu,,
783,kaḷavaḷisu,manōvaikalye,to be agitated in one's mind.,karṇāṭa isu,,
784,kanavarisu,nidrāvikārē,to talk in one's sleep.,karṇāṭa isu,,
785,sairisu,sahanē,"(o.r. kṣamatvē) to bear, forbear.",karṇāṭa isu,,
786,sogayisu,śõbhāyām,to shine.,karṇāṭa isu,,
787,mandayisu,sāndratvē,to thicken.,karṇāṭa isu,,
788,sandisu,sandhānē,"to unite, join.",karṇāṭa isu,,
789,cāḷisu,cāpalyē,to be unsteady.,karṇāṭa isu,,
790,kaḍegaṇisu,avajñāyām,to disrespect.,karṇāṭa isu,,
791,samanisu,prāptau,to be acquired.,karṇāṭa isu,,
792,tavisu,kṣayē,to cause to decrease.,karṇāṭa isu,,
793,avadharisu,smaraṇē,to consider.,karṇāṭa isu,,o.r. avadhārisu
794,kinisu,kōpē,to be angry.,karṇāṭa isu,,
795,hanisu,rasadānē,to present a liquid.,karṇāṭa isu,,
796,binnavisu,vijñāpanē,to petition.,karṇāṭa isu,,
797,percisu,vardhanē,to cause to grow.,bhinnakartarīsu,,
798,bercisu,bhayē,to cause to suffer fear.,bhinnakartarīsu,,
799,māḍisu,nirmāpaṇē,to cause to perform.,bhinnakartarīsu,,
800,nõḍisu,lōcanakriyāyām,to cause to see.,bhinnakartarīsu,,
801,āḍisu,nartanavidhau,to cause to play.,bhinnakartarīsu,,
802,padisu,gānē,to cause to sing.,bhinnakartarīsu,,
