This spreadsheet is based on Kedaliya's edition of the Śabdamaṇidarpaṇa of Kēśirāja. See https://github.com/aso2101/kannadaroots.,,,,,,
No.,Root,Meaning (Sanskrit),Meaning (English),Class,Compound?,Textual notes
94,āgu,prādurbhavē,"to become manifest, to become.",ganta,,
95,kūgu,uccairdhvanau,"to cry aloud, shout.",ganta,,
96,tēgum,udanavāyau,"to belch,",ganta,,
97,tāgu,saṅghaṭṭanē,to come into close contact.,ganta,,
98,bāgu,namratvē,to bend or bow.,ganta,,
99,tūgu,tulanē,to weigh.,ganta,,
100,bīgu,harṣabhavē,"to be glad,",ganta,,
101,kēgu,mayūrasvanē,"to cry, as a peacock.",ganta,,
102,nīgu,tyajanē,to leave or quit.,ganta,,
103,hudugu,gõpanē,"to guard, conceal, etc.",ganta,,
104,sidugu,hastanvēṣaṇē,to search about or for with the hands.,ganta,,
105,pongu,sphuṭanē,"to burst, open, expand, etc.",ganta,,
106,nuṅgu,gilanē,to swallow.,ganta,,
107,kunuṅgu,saṅkocanē,"to contract, to bend.",ganta,,
108,tāṅgu,dhāraṇa-saṅghaṭṭanayōḥ,"to support, to come into close contact.",ganta,,
109,"jinugu, jinuṅgu",avyaktadhvanau,"to sound inarticulately, to mutter, to bum,",ganta,,
110,"malagu, malaṅgu",upadhānāvalambē,"to lie down, recline,",ganta,,
111,celaṅgu,karamuktau,"to let go from the hand, etc.",ganta,,
112,tolagu,viviktē,"to move away, separate from.",ganta,,
113,piṅgu,apasaranē,"to go away, to retreat.",ganta,,
114,misugu,kāntau,to shine.,ganta,,
115,esagu,udyōgē,"to undertake, to commence.",ganta,,
116,masagu,vijr̥mbhaṇē,"to open, extend, appear.",ganta,,
117,karagu,vilīnē,"to be dissolved, melt, etc.",ganta,,
118,koragu,rasavihinē,"to be deprived of juice, to shrivel, etc.",ganta,,
119,haragu,sasyakriyāyām,"to work in a corn-field, etc.",ganta,,
120,maṟugu,santāpē,"to burn, grieve.",ganta,,
121,eṟagu,praṇatē,"to stoop, to bow, etc.",ganta,,
122,miṟugu,cakacakayāmanē,to glitter.,ganta,,
123,tuṟugu,sañchannē,"to be covered or enveloped, etc.",ganta,,
124,uṟugu,vakrabhavē,"to be crooked, bent,",ganta,,
125,oragu,suptau,"to lie down, sleep.",ganta,,
126,karaṅgu,kārṣṇyē,to turn black.,ganta,,
127,uḍugu,saṅkōcanē,"to inflect, contract, shrivel, etc.",ganta,,
128,toḍagu,prārambhē,to begin.,ganta,,
129,maḍagu,gõpanē,"to hide, conceal.",ganta,,
130,naḍugu,kampanē,to tremble.,ganta,,
131,miḍugu,saṅkhinnē,to grieve.,ganta,,
132,kaḍaṅgu,"autsukyē,",to desire.,ganta,,
133,aḍaṅgu,gopanē,to hide.,ganta,,
134,oṇagu,śõṣaṇē,"to become dry, etc.",ganta,,
135,eḍeyuḍugu,vicchēdē,"to leave room, etc.",ganta,eḍe + uḍugu,
136,"toḷagu, beḷagu",kāntau,to shine.,ganta,,
137,muḻugu,nimagnē,to submerge.,ganta,,
138,alugu,sañcalanē,to shake.,ganta,,
